books,writer,rating,description,statistics,details,urls,genres,reading,will_read
"Rurouni Kenshin, Volume 18","['Nobuhiro Watsuki', 'Nobuhiro Watsuki']",4.34,"He may be one of the ""good guys"" now (as Misao insists) but, even a month later, Kenshin still is haunted by Kyoto. How can he not be, when it was in Kyoto that, as the feared ""Hitokiri Battôsai,"" he once made the streets flow red...? And yet, before he departs this place of so many memories, there are ghosts which must be put to rest. It's said that, when strong feelings are attached to a particular wound, so long as those feelings persist, the scar will remain. How did Kenshin get that cross-shaped scar on his face, and who was it that gave it to him?","1,992 ratings and 47 reviews","['193 pages, Paperback', 'First published December 4, 1997']",https://www.goodreads.com/book/show/294977,"['Manga', 'Historical Fiction', 'Graphic Novels', 'Comics', 'Historical', 'Fiction', 'Shonen', '...more']",17 people are currently reading,398 people want to read
Tú y otros desastres naturales,"['Maria Martinez', 'Maria Martinez']",4.00,"¿Qué ocurre cuando todos tus planes se desvanecen?
¿Qué sucede cuando estás tan perdida que no sabes hacia dónde dirigir tus pasos?

Harper tiene un plan. Es perfecto. La vida que tanto desea, en la punta de los dedos.
Sin embargo, una pérdida inesperada hará que todo su mundo se tambalee.

Porque los secretos no pueden guardarse para siempre.

Porque una sola decisión puede cambiarlo todo.

Porque la vida no se trata de sobrevivir a la tormenta, sino de aprender a bailar bajo ella.

«Todo comenzó con una carta, un regalo y un chico tan perdido como yo.»","18,957 ratings and 2,965 reviews","['456 pages, Paperback', 'Published June 1, 2022']",https://www.goodreads.com/book/show/61243455,"['Romance', 'Spanish Literature', 'New Adult', 'Audiobook', 'Erotic Romance', 'Young Adult', 'Contemporary', '...more']","1,152 people are currently reading",29.5k people want to read
,,,,,,https://www.goodreads.com/book/show/65605,,,
"Rurouni Kenshin, Volume 23","['Nobuhiro Watsuki', 'Nobuhiro Watsuki']",4.37,"In order to discover more about the relationship that binds Kenshin and Enishi, Saitô Hajime makes a surprise appearance at Kamiya Dojo--only to find the aftermath of Kenshin, Sanosuke, and Yahiko's desperate life-or-death battles with Enishi's cabal of fighters. One member of the ""Six Comrades"" remains standing--the mysterious and deadly Yatsume Mumyôi. Will the strength of Saitô Gatotsu be enough to fell this freakish warrior-of-the-shadows?!","2,010 ratings and 39 reviews","['200 pages, Paperback', 'First published November 4, 1998']",https://www.goodreads.com/book/show/294986,"['Manga', 'Historical Fiction', 'Comics', 'Graphic Novels', 'Historical', 'Fiction', 'Shonen', '...more']",10 people are currently reading,362 people want to read
"Rurouni Kenshin, Volume 25","['Nobuhiro Watsuki', 'Nobuhiro Watsuki']",4.40,"Kujiranami, the giant whose right arm Kenshin severed during the Bakumatsu, escapes from prison and goes on the rampage. He is armed with a frightening new weapon, and the police force is helpless against his wrath. One warrior has the courage to stand up to him: Myôjin Yahiko, Kenshin's youthful ward and Kaoru's only student in Kamiya Kasshin-ryû. And while it's true that Yahiko's skill has increased, will he alone be able to stop a deranged Kujiranami? If Kenshin doesn't do something quick, this will certainly be Yahiko's greatest--and last--battle!","2,043 ratings and 39 reviews","['200 pages, Paperback', 'First published April 2, 1999']",https://www.goodreads.com/book/show/294988,,9 people are currently reading,370 people want to read
El cuarto protocolo,"['Frederick Forsyth', 'Frederick Forsyth']",4.05,"En el Kremlin se fragua una conspiración para hacer estallar una bomba nuclear en Inglaterra.

Los servicios secretos británicos encargan a uno de sus agentes que descubra a un traidor que actúa dentro de la organización. Mientras tanto, Gran Bretaña está a punto de celebrar elecciones generales y los soviéticos pretenden que gane el Partido Laborista, dominado por una facción de izquierda. Para ello, el jefe del Kremlin juega la baza del desarme nuclear: envía un agente secreto a Inglaterra con el propósito de activar una bomba atómica y hacerla estallar antes de las elecciones.","34,691 ratings and 475 reviews","['512 pages, Hardcover', 'First published August 1, 1984']",https://www.goodreads.com/book/show/8552536,"['Fiction', 'Thriller', 'Espionage', 'Mystery', 'Suspense', 'Spy Thriller', 'Adventure', '...more']",440 people are currently reading,"8,529 people want to read"
Sombra y hueso,"['Leigh Bardugo', 'Carlos Loscertales', 'Nuria Samso', 'Leigh Bardugo']",3.92,"9 horas y 34 minutos

Alina Starkov no espera mucho de la vida. Se quedó huérfana después de la guerra y lo único que tiene en el mundo es a su amigo Mal. A raíz de un ataque que recibe Mal al entrar en La Sombra, una oscuridad antinatural repleta de monstruos que ha aislado el país, Alina revela un poder latente que ni ella misma sabía que tenía. Tras ese episodio, Alina es conducida a la fuerza hasta la corte real para ser entrenada como un miembro de los Grisha, un grupo de magos de élite comandado por un individuo misterioso que se hace llamar El Oscuro.","1,018,689 ratings and 89,203 reviews","['10 pages, Audible Audio', 'First published June 5, 2012']",https://www.goodreads.com/book/show/220987481,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'High Fantasy', 'Adventure', '...more']",37k people are currently reading,955k people want to read
Rendirse al diablo,"[""Elizabeth O'Roark"", 'Lorena Escudero Ruiz', ""Elizabeth O'Roark""]",4.14,"Puede que no sea el diablo, pero trabajar para él durante seis semanas es mi idea del infierno.
Hayes Flynn es un cabrón arrogante, inmensamente rico, conocido por su afición a las fiestas y por la forma en que reparte su «encanto» británico por todo
Hollywood, sin repetir nunca con la misma mujer. Es la última persona para la que quiero trabajar, aunque es guapo por castigo, y cuanto más tiempo pasamos juntos, más me cuesta odiarlo. Porque debajo de su fachada engreída hay un corazón que no quiere mostrar, y que alguien le rompió en pedazos diez años atrás.
Parte de mí quiere recomponérselo antes de marcharme, pero… ¿podré hacerlo sin que se rompa el mío por el camino?","49,255 ratings and 5,646 reviews","['320 pages, Paperback', 'First published August 10, 2021']",https://www.goodreads.com/book/show/60194905,,"4,077 people are currently reading",44.2k people want to read
Di que Seré Tuyo,"['J.S. Scott', 'Marta Molina Rodríguez', 'J.S. Scott']",4.36,"¿Hay algo más en el multimillonario británico malcriado, mujeriego y que se cree con derecho a todo que lo que veo en la superficie?

Tengo muchas ganas de odiar a Dylan Lancaster.

Le hizo daño a mi mejor amiga y estuvo a punto de destruir la relación de esta con su hermano gemelo. Así que decido que alguien tiene que refrenarlo para que no intente derribar a la pareja completamente antes de que se celebre su boda. Por desgracia, la única mujer que intentaría abordar una tarea imposible soy yo.

Solo son seis semanas, ¿verdad? Seguro que puedo tolerar al molesto mujeriego idiota y evitar que se meta en problemas para que no lleguen más escándalos suyos a los medios de comunicación antes de la boda de su hermano. Soy gestora de crisis de relaciones públicas. Aplastar la mala prensa es lo que hago, y lo hago extremadamente bien para mis clientes de alto perfil.
Con lo que no cuento es con que los destellos del verdadero Dylan que empiezo a ver bajo todo su cinismo empiecen a gustarme. Tampoco había imaginado nunca que llegaría a sentirme tan atraída por él que apenas puedo respirar cada vez que se acerca a mí.

Dylan es un hombre que ha sufrido un profundo dolor emocional. Lo presiento. Lo siento. La pregunta ¿Puedo llegar al verdadero Dylan Lancaster antes de que sea demasiado tarde?

este es un romance de multimillonarios británicos y enemigos que entablan amistad y luego una aventura con una heroína estadounidense. Recomendaría que primero leáis la historia de Damian en Di que Serás Mía, libro 1 de Multimillonarios Británicos para realzar el placer de vuestra lectura.","3,775 ratings and 273 reviews","['280 pages, Kindle Edition', 'First published June 15, 2021']",https://www.goodreads.com/book/show/60489817,"['Romance', 'Contemporary Romance', 'Contemporary']","1,473 people are currently reading","1,094 people want to read"
El hombre que ríe,"['Victor Hugo', 'Victor Hugo']",4.24,"-Desearía poderte ver en el escenario, de la manera en que el público te mira. Ellos siempre ríen y aplauden estrepitosamente.

-Se ríen de mí porque soy feo.
-¡Oh no! Eres hermoso","14,085 ratings and 999 reviews","['168 pages, Paperback', 'First published April 1, 1869']",https://www.goodreads.com/book/show/28180574,"['Classics', 'Fiction', 'France', 'Historical Fiction', 'French Literature', 'Novels', 'Literature', '...more']","1,268 people are currently reading",26.1k people want to read
