books,writer,rating,description,statistics,details,urls,genres,reading,will_read
"Detransition, Baby","['Torrey Peters', 'Torrey Peters']",3.94,"A whipsmart debut about three women—transgender and cisgender—whose lives collide after an unexpected pregnancy forces them to confront their deepest desires around gender, motherhood, and sex.

Reese almost had it all: a loving relationship with Amy, an apartment in New York City, a job she didn't hate. She had scraped together what previous generations of trans women could only dream of: a life of mundane, bourgeois comforts. The only thing missing was a child. But then her girlfriend, Amy, detransitioned and became Ames, and everything fell apart. Now Reese is caught in a self-destructive pattern: avoiding her loneliness by sleeping with married men.

Ames isn't happy either. He thought detransitioning to live as a man would make life easier, but that decision cost him his relationship with Reese—and losing her meant losing his only family. Even though their romance is over, he longs to find a way back to her. When Ames's boss and lover, Katrina, reveals that she's pregnant with his baby—and that she's not sure whether she wants to keep it—Ames wonders if this is the chance he's been waiting for. Could the three of them form some kind of unconventional family—and raise the baby together?

This provocative debut is about what happens at the emotional, messy, vulnerable corners of womanhood that platitudes and good intentions can't reach. Torrey Peters brilliantly and fearlessly navigates the most dangerous taboos around gender, sex, and relationships, gifting us a thrillingly original, witty, and deeply moving novel.","84,413 ratings and 10,496 reviews","['337 pages, Hardcover', 'First published January 12, 2021']",https://www.goodreads.com/book/show/48890225,,"4,805 people are currently reading",157k people want to read
La reniñez : juego diálogo Rojas-Matta/Matta Rojas,"['Gonzalo Rosas', 'Gonzalo Rosas']",3.61,"Madrid. 25 cm. 139 p. il. Encuadernación en tapa dura de editorial con sobrecubierta ilustrada. Rojas, Gonzalo 1917-2011. Dibujos de Roberto Matta. Matta, Roberto. 1911-2002 .. Este libro es de segunda mano y tiene o puede tener marcas y señales de su anterior propietario. 8496320022",23 ratings and 4 reviews,"['139 pages, Paperback', 'Published January 1, 2004']",https://www.goodreads.com/book/show/3932533,,1 person is currently reading,5 people want to read
De las ciudades vuestras tumbas,"['Víctor Conde', 'Víctor Conde']",3.53,"Jarek Kôdz es un maquinista polaco, superviviente de los campos de concentración nazis, que vio algo imposible cuando era pequeño: un monstruo surgido de la noche, del frío, del horror de los campos, que se alimentaba de sangre humana.

Obsesionado por esa imagen, Jarek se pasará la vida buscando lo que él sabe que existe, es decir, los monstruos que pueblan la oscuridad. Los vampiros.

Solo que cuando los encuentre, quizá descubra que su vida esté más ligada a ellos de lo que él mismo esperaba.",45 ratings and 13 reviews,"['272 pages, Paperback', 'First published May 19, 2019']",https://www.goodreads.com/book/show/36012407,['Horror'],5 people are currently reading,78 people want to read
Mi experiencia lesbiana con la soledad,"['Kabi Nagata', 'Kabi Nagata']",4.11,"Kabi Nagata narra la historia real de su vida en un cómic cuyos orígenes estuvieron en la plataforma digital japonesa Pixiv y con el que llegó a millones de lectores. En su historia nos cuenta como, tras abandonar los estudios universitarios, cayó en una depresión que la llevó a buscar en lugares que no le correspondían su sitio en el mundo, y de la que solamente pudo comenzar a salir cuando abrió las puertas a su propia sexualidad. Lo que hizo fue contratar los servicios de una escort lesbiana y en torno a ello, antecedentes y precedentes, trata esta historia que ya es un éxito internacional de ventas.","28,247 ratings and 3,779 reviews","['144 pages, Paperback', 'First published January 1, 2016']",https://www.goodreads.com/book/show/38732162,"['Graphic Novels', 'LGBT', 'Queer', 'Nonfiction', 'Comics', 'Memoir', 'Lesbian', '...more']",598 people are currently reading,39.2k people want to read
La migrante II La rebelión de los Descartados,"['Laisy Montenegro', 'Laisy Montenegro']",4.95,"La Migrante vuelve en una segunda entrega cargada de adrenalina, aventura y
secretos revelados que te llevarán en un viaje sin precedentes.

La noticia que Lilac recibió en la frontera de Fluvia lo cambia todo. La Rebelión de
los Descartados empezó, la cosecha masiva de órganos está en marcha, los
terrecos luchan con uñas y dientes para sobrevivir al exterminio. Y Lilac será
capaz de hacer cualquier cosa para detener la masacre.

Se presenta la oportunidad para salvar a Terrazola, pero solo una cosa interfiere
entre ella y la libertad de su pueblo.

Nikolus Mottur.

¿Podrá La Migrante sobrevivir al dictador más mortífero de la historia?

#ÚneteAlViaje para descubrirlo",20 ratings and 10 reviews,"['304 pages, Paperback', 'Published June 27, 2021']",https://www.goodreads.com/book/show/58392966,,1 person is currently reading,6 people want to read
Caja Negra,"['Mercedes Estramil', 'Mercedes Estramil']",3.57,,7 ratings and 3 reviews,"['117 pages, Paperback', 'Published June 1, 2014']",https://www.goodreads.com/book/show/33784207,,3 people want to read,
A bordo del naufragio,"['Alberto Olmos', 'Alberto Olmos']",3.54,"Éste es el relato de un día cualquiera en la vida de un estudiante universitario en los años noventa. El protagonista transita por una ciudad hostil, mecanizada, desde las aulas de la facultad a los barrios obreros de la periferia, sin otro interlocutor que su propio pasado, que entrecorta un discurso demoledor sobre la sociedad y sus ilusiones. Con una voz en la que resuenan la ira festiva de Henry Miller y la impudicia moral de Louis-Ferdinand Céline, esta novela sigue siendo, quince años después, un ataque sin misericordia al buen gusto convencional, a las intenciones más o menos bondadosas y a la omnipotencia del mercado. La novela fue finalista del Premio Herralde de Novela.",120 ratings and 10 reviews,"['176 pages, Mass Market Paperback', 'First published November 2, 1998']",https://www.goodreads.com/book/show/20316563,,2 people are currently reading,72 people want to read
Lawless,"['T.M. Frazier', 'Sylvie Del Cotto', 'T.M. Frazier']",4.33,"Ruined. BROKEN. LOST.

Thia’s lost it all. With no options left she turns to the biker she met as a kid to cash in the favor he swore to return all those years ago.

Bear’s best friend is dead. His old man wants to put him to ground.
He has bigger things on his mind than the pink-haired girl from the
gas station he never thought he’d see again.

Until her battered body is tossed onto his doorstep.

Keeping his promise to Thia means Bear has to be willing to risk everything, including his life...and what’s left of his heart.

Thia’s bruised and battered.
Bear’s leather and lawless.
It will never work between them.
It’s a lie they ALMOST believe

LAWLESS is book THREE in the King Series and meant to be read after KING & TYRANT.","21,086 ratings and 2,196 reviews","['231 pages', 'First published December 6, 2015']",https://www.goodreads.com/book/show/25756072,"['Romance', 'Dark', 'Contemporary', 'Abuse', 'New Adult', 'Audiobook', 'Contemporary Romance', '...more']","1,190 people are currently reading","9,935 people want to read"
Mis días en la librería Morisaki,"['Satoshi Yagisawa', 'Satoshi Yagisawa']",3.65,"Jinbocho, Tokio

El barrio de las librerías y de las editoriales, paraíso de los lectores. Un rincón tranquilo y ajeno al tiempo, a pocos pasos del metro y de grandes edificios modernos. Filas y filas de escaparates llenos de libros, nuevos o de segunda mano.

Tatako, con veinticinco años y una vida bastante descolorida, no suele frecuentar ese barrio. Sin embargo, es allí donde se encuentra con la librería Morisaki, que ha pertenecido a su familia durante tres generaciones. Una tienda de apenas ocho tatamis en un antiguo edificio de madera, con una habitación en la planta superior que se utiliza como almacén. Es el reino de Satoru, el excéntrico tío de Tatako, que, entusiasta y un poco trastornado, dedica su vida a los libros.

Pero Tatako es el polo opuesto de su tío; no ha salido de casa desde que el hombre del que estaba enamorada le dijo que quería casarse con otra. Es Satoru quien le lanza un salvavidas y le ofrece mudarse al primer piso de la librería. Ella, que no es una gran lectora, se encuentra viviendo en medio de torres de libros que se desmoronan y de clientes que no dejan de hacerle preguntas y de citar a escritores desconocidos.

Entre discusiones cada vez más apasionantes sobre la literatura japonesa moderna, un encuentro en un café con un tímido desconocido y unas revelaciones sobre la historia de amor de Satoru, Tatako irá descubriendo poco a poco una forma de comunicarse y de relacionarse que parte de los libros para llegar al corazón.","120,223 ratings and 19,223 reviews","['160 pages, Paperback', 'First published September 7, 2010']",https://www.goodreads.com/book/show/66421161,"['Fiction', 'Contemporary', 'Japan', 'Japanese Literature', 'Books About Books', 'Romance', 'Audiobook', '...more']","7,446 people are currently reading",131k people want to read
luna negra: novela de misterio,"['HENRY ESQUIVEL MONGE', 'HENRY ESQUIVEL MONGE']",2.96,"Luna es una niña que dejaron en la puerta de un orfanato llamado san Lorenzo con una extraña nota y que al pasar del tiempo va desarrollando unos poderes mentales que la hacen diferente y hacen sospechar a todos que se trata de brujería, luego de buscar miles de soluciones ella conoce un reverendo que la ayuda y la libera de sus temores.Esta novela es corta y en ella se trata de tocar un tema que siempre nos ha sobrecogido. La lucha entre el bien y el mal.",27 ratings and 4 reviews,"['123 pages, Kindle Edition', 'Published February 27, 2020']",https://www.goodreads.com/book/show/55083434,,5 people are currently reading,10 people want to read
Only and Forever,"['Chloe Liese', 'Chloe Liese']",4.02,"It’s a room-mance for the books in this tender, steamy story about unexpectedly finding love and being brave enough to let it revise life’s narrative in the final book in the beloved Bergman Brothers series.

Viggo Bergman, hopeless romantic, is thoroughly weary of waiting for his happily ever after. But between opening a romance bookstore, running a romance book club, coaching kids' soccer, and adopting a household of pets—just maybe, he’s overcommitted himself?—Viggo’s chaotic life has made finding his forever love seem downright improbable.

Enter Tallulah Clarke, chilly cynic with a massive case of writer’s block. Tallulah needs help with her thriller’s romantic subplot. Viggo needs another pair of hands to keep his store afloat. So they agree to swap skills and cohabitate for convenience—his romance expertise to revive her book, her organizational prowess to salvage his store. They hardly get along, and they couldn’t be more different, but who says roommate-coworkers need to be friends?

As they share a home and life, Tallulah and Viggo discover a connection that challenges everything they believe about love, and reveals the plot twist they never saw happily ever after is here already, right under their roof.","12,246 ratings and 2,040 reviews","['368 pages, Kindle Edition', 'First published April 2, 2024']",https://www.goodreads.com/book/show/195035565,"['Romance', 'Contemporary Romance', 'Audiobook', 'Contemporary', 'Fiction', 'Adult', 'Disability', '...more']",410 people are currently reading,28k people want to read
El ruiseñor,"['Kristin Hannah', 'Laura Vidal', 'Kristin Hannah']",4.64,"Dos hermanas buscan su propio camino hacia la supervivencia, el amor y la libertad en la Francia ocupada durante la Segunda Guerra Mundial.

Francia, 1939. En el tranquilo pueblo de Carriveau, Vianne Mauriac se despide de su marido, Antoine, que debe marchar al frente. Ella no cree que los nazis vayan a invadir Francia... pero lo hacen, con batallones de soldados marchando por las calles, con caravanas de camiones y tanques, con aviones que llenan los cielos y lanzan bombas sobre los inocentes. Cuando un capitán alemán requisa la casa de Vianne, ella y su hija deben convivir con el enemigo o arriesgarse a perderlo todo. Sin comida ni dinero ni esperanza, Vianne se ve obligada a tomar difíciles decisiones para mantener con vida a su familia.

La hermana de Vianne, Isabelle, es una joven rebelde de dieciocho años que busca un propósito para su vida con toda la temeraria pasión de la juventud. Mientras miles de parisinos escapan de la ciudad ante la inminente llegada de los nazis, Isabelle se encuentra con Gaëton, un partisano que cree que los franceses pueden luchar contra los nazis desde dentro de Francia. Isabelle se enamora completamente, pero cuando él la traiciona, decide unirse a la Resistencia. Sin detenerse nunca para mirar hacia atrás, Isabelle arriesgará su vida una y otra vez para salvar a otros.

En el amor descubrimos quiénes queremos ser.
En la guerra descubrimos quiénes somos en realidad.","1,654,213 ratings and 135,797 reviews","['592 pages, Paperback', 'First published January 29, 2015']",https://www.goodreads.com/book/show/28213684,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'War', 'Romance', '...more']","9,269 people are currently reading",103k people want to read
Si te vieras con mis ojos,"['Carlos Franz', 'Carlos Franz']",3.79,"El joven Charles Darwin y el pintor viajero Johan Moritz Rugendas se encuentran a mediados del siglo XIX en Chile. Distintos en todo pero enamorados de la misma mujer casada, el metódico naturalista y el impulsivo artista se enfrentan y luchan. Su combate los llevará a través de una naturaleza agreste hasta las alturas de los Andes y los precipitará a un abismo.

Muchos años después ese amor apasionado, la lucha que provocó y la singular amistad que surgió de ella serán relatados por la mujer brillante, ilustrada e indomable que marcó las vidas de esos hombres para siempre.",220 ratings and 34 reviews,"['376 pages, Paperback', 'First published January 1, 2015']",https://www.goodreads.com/book/show/27918777,,40 people are currently reading,338 people want to read
Dejad que los niños vengan a mí,"['Juan Pablo Barrientos', 'Juan Pablo Barrientos']",4.27,"Pederastia en la iglesia católica de Colombia: denuncias, archivo secreto, Concordato.

Es un libro que estremece, que duele, que llama a la impunidad por su nombre, que denuncia la inmunidad intimidante de la iglesia católica en Colombia, que escucha la voz de la infancia que perdió la inocencia siendo víctima de abuso a manos de sacerdotes inmorales.",722 ratings and 143 reviews,"['363 pages, Paperback', 'Published September 1, 2019']",https://www.goodreads.com/book/show/48497096,,106 people are currently reading,719 people want to read
Un día de diciembre,"['Josie Silver', 'Josie Silver']",3.84,"Laurie no cree en el amor a primera vista. Piensa que una cosa son las películas y otra, la vida real. Sin embargo, un día de diciembre, su mirada se cruza con la de un desconocido a través de la ventanilla empañada de un autobús. Surge la magia y Laurie se enamora perdidamente, pero el autobús arranca y sigue su camino por las calles nevadas de Londres.

Está convencida de que es el hombre de su vida, pero no sabe dónde encontrarlo. Un año después, su mejor amiga Sarah le presenta a Jack, su nuevo novio, del que está muy enamorada. Y sí, es él: el chico del autobús.

Laurie decide olvidarle, pero ¿y si el destino tiene otros planes?","337,354 ratings and 32,965 reviews","['416 pages, Kindle Edition', 'First published October 18, 2018']",https://www.goodreads.com/book/show/49545689,"['Romance', 'Christmas', 'Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Holiday', '...more']",20.5k people are currently reading,289k people want to read
La chica-cosa que fue por sushi,"['Pat Cadigan', 'Trinidad Montalva', 'Pat Cadigan']",4.23,"En esta novelette, Cadigan imagina un futuro en que los seres humanos, con el fin de adaptarse a las condiciones de vida en el espacio, se transforman en símiles de criaturas marinas. Fluyendo con esa imagen, leer La chica-cosa… es bucear en las profundidades de un futuro inexplorable. La autora reconoce la abismalidad de su ficción y rechaza el ejercicio de sondearla; en cambio, nos relata un slice of life de sus personajes. Navegamos su rutina como recolectores en los alrededores de Júpiter, los pormenores legales y médicos de una metamorfosis e, incluso, las tensiones políticas que se gestan en esta sociedad interespecie.

Y en esta intrincada realidad, como ha procurado históricamente la ciencia ficción, leemos una alegoría de nuestro propio presente: Cadigan empuja los límites de la sexualidad y del género, pero también del racismo y la democracia. A su manera, La chica-cosa… es un relato quintaesencial de la humanidad, a través del que su autora nos dice que, tanto en el pasado como en el futuro, las problemáticas de nuestras sociedades son siempre las mismas.

xelsoi",39 ratings and 19 reviews,"['70 pages, Paperback', 'First published January 1, 2012']",https://www.goodreads.com/book/show/199262689,,1 person is currently reading,47 people want to read
Memoria Romana y otros relatos inéditos,"['Rodolfo Enrique Fogwill', 'Rodolfo Enrique Fogwill']",3.50,"Memoria Romana y otros relatos inéditos incluye once textos de Fogwill fechados en los años setenta, ochenta y dos mil. Diez de ellos fueron rescatados de entre sus pertenencias, papeles personales y correspondencia, y forman parte del Archivo Fogwill. El otro, titulado “Un cambio de orgánico”, le fue robado al autor por uno de los editores de este libro.Los fechados en la década del setenta, anteriores a Mis muertos punk, su primer libro de relatos, muestran a un joven Fogwill experimentando en el género cuento, que lo iba a consagrar como uno de los mejores escritores argentinos del siglo XX. “Memoria Romana” es una novela corta, interrumpida pero no inconclusa, escrita durante la Guerra de Malvinas; tiene forma de diario y es contemporánea de Los pichiciegos. En los fechados en los dos mil está el Fogwill ya maduro y seguro de sus herramientas.Algunos más autobiográficos, otros más delirantes, siempre agudos, a veces provocadores, en todos brillan la potencia de la lengua y la imaginación para tramar historias, voces, miradas y fraseos que los lectores evocamos cuando leemos la palabra Fogwill.",66 ratings and 10 reviews,"['152 pages, Paperback', 'Published July 1, 2018']",https://www.goodreads.com/book/show/41091554,,28 people want to read,
Fragmentos de nubes,"['Akiko Yosano', 'Akiko Yosano']",4.16,"Con un lenguaje fresco y provocativo a veces sencillo y sutil, a veces culto y metafórico, los poemas de este libro, traducidos directamente del japonés e inéditos hasta ahora en nuestro medio hispanohablante, constituyen una muestra extraordinaria de la geografía lírica genuinamente sentimental (jikkan) y de estilo libre (shintaishi) construidos por Akiko Yosano durante aquella gran revolución estética y sociocultural que trajo consigo la reivindicación femenina en el panorama literario japonés a comienzos del siglo XX.
Fragmentos de nubes reúne 71 poemas que nos permiten profundizar en la obra de Akiko de un modo similar a como ella hubiese querido: apreciando su voz como reflejo de las grandes contradicciones de ser mujer en una sociedad que la limitaba, celebrando la presencia significativa de un Yo femenino que ejerce su libertad y demanda su autonomía con el mismo corazón abierto con el cual reconoce sus zonas vulnerables. Por eso, la diversidad contenida en esta edición no solo resulta valiosa sino también loable, pues propone una nueva vía para la exploración y el redescubrimiento de aquello que realmente consagró a Akiko como paradigma de esa nueva mujer (atarashii onna) que la escritora Hiratsuka Raich ya había profetizado. Este libro contiene, además, una introducción magistral de Miguel Sardegna, fotos y un emotivo epílogo de la traductora Masako Kano, y una breve dedicatoria escrita por la misma Akiko a una mujer amante de las rosas.
Definitivamente, un libro excepcional que hará vibrar la mente y el espíritu de todos sus lectores.",61 ratings and 17 reviews,"['212 pages, Paperback', 'Published January 1, 2023']",https://www.goodreads.com/book/show/196706805,['Poetry'],3 people are currently reading,106 people want to read
"Siéntate aquí, si quieres","['Martina Díaz', 'Martina Díaz']",4.19,"eLit LGTBI 16
Sentí, de pronto, que dentro de la habitación se hacía verano a su lado.
Elisa está hecha un lío. No tiene ni idea de qué le pasa, de por qué ese ensimismamiento en clase, el porqué de esas mariposas en el estómago ni la razón por la que solo un nombre gira en su cabeza. Solo sabe que el mundo se derrumba para ella cuando se da cuenta de una realidad se ha enamorado de Teresa, su mejor amiga. Tras el varapalo que supone enfrentarse a su rechazo, Elisa está convencida de que la única opción para enterrar ese amor imposible es marcharse a estudiar a Irlanda.
A sus treinta y tantos, Elisa apenas se acuerda de aquel desastroso primer amor, olvidado junto a su adolescencia en los años noventa. Hoy es una brillante química que acaba de regresar a su Zaragoza natal gracias a un nuevo proyecto de su empresa. Después de tanto cambio, cree que por fin tiene su vida bajo control, pero las mudanzas lo ponen todo patas arriba. Un detalle inesperado destapa la caja de pandora de su pasado, poniéndola tras la pista de Teresa. Veinte años después nada es lo que parece, y aquellas olvidadas mariposas de la adolescencia parecen dispuestas a volver.
Siéntate aquí, si quieres es una historia de búsqueda de la identidad personal y una invitación a la reflexión sobre la evolución de nuestra sociedad, reflejando la necesidad de mostrar con naturalidad y sin etiquetas estas historias de amor; pues al fin y al cabo solo son historias de amor como otras cualquiera.
PREGUNTAS A LA AUTORA
-¿Qué te inspiró esta historia?
Cuando escuché en las noticias la polémica sobre un pin parental para permitir o no que se impartiesen talleres o charlas sobre diversidad afectivo-sexual en los centros educativos, no pude evitar pensar en el retroceso que eso supondría. Cuánta gente del colectivo LGTBIQ+ no hubiéramos dado lo que fuese para que en nuestros años de adolescencia hubiéramos tenido esa facilidad en los institutos. Si hubiera habido información, apoyo y referentes, cuando estábamos en esa etapa tan crucial de nuestra vida, seguramente hoy gozaríamos de mayor salud emocional y habríamos crecido en una sociedad con menos prejuicios.",26 ratings and 5 reviews,"['207 pages, Kindle Edition', 'Published April 15, 2023']",https://www.goodreads.com/book/show/134971894,,3 people are currently reading,7 people want to read
Lord of the Flies,"['William Golding', 'William Golding']",3.70,"A plane crashes on a desert island and the only survivors, a group of schoolboys, assemble on the beach and wait to be rescued. By day they inhabit a land of bright fantastic birds and dark blue seas, but at night their dreams are haunted by the image of a terrifying beast. As the boys' delicate sense of order fades, so their childish dreams are transformed into something more primitive, and their behaviour starts to take on a murderous, savage significance. First published in 1954, ""Lord of the Flies"" is one of the most celebrated and widely read of modern classics.","3,037,389 ratings and 60,543 reviews","['224 pages, Paperback', 'First published September 17, 1954']",https://www.goodreads.com/book/show/6193662,"['Fiction', 'Classics', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', '...more']",39.5k people are currently reading,1m people want to read
Funny You Should Ask,"['Elissa Sussman', 'Elissa Sussman']",3.57,"Then. Twentysomething writer Chani Horowitz is stuck. While her former MFA classmates are nabbing book deals, she's in the trenches writing puff pieces. Then she's hired to write a profile of movie star Gabe Parker. The Gabe Parker--her forever celebrity crush, the object of her fantasies, the background photo on her phone--who's also just been cast as the new James Bond. It's terrifying and thrilling all at once... yet if she can keep her cool and nail the piece, it could be a huge win. Gabe will get good press, and her career will skyrocket. But what comes next proves to be life-changing in ways Chani never saw coming, as the interview turns into a whirlwind weekend that has the tabloids buzzing.

Ten years later, after a brutal divorce and a heavy dose of therapy, Chani is back in Los Angeles, laser-focused on one thing: her work. But she's still spent the better part of the last decade getting asked about her deeply personal Gabe Parker profile at every turn. No matter what new essay collection or viral editorial she's promoting, it always comes back to Gabe. So when his PR team requests that they reunite for a second interview, she wants to say no. She wants to pretend that she's forgotten about the time they spent together, years ago. But the truth is that those seventy-two hours are still crystal clear, etched in her memory. And so... he says yes.

Chani knows that facing Gabe again also means facing feelings she's tried so hard to push away. Alternating between their first meeting and their reunion a decade later, this deliciously irresistible novel will have you hanging on until the last word.","132,150 ratings and 19,720 reviews","['352 pages, Paperback', 'First published April 12, 2022']",https://www.goodreads.com/book/show/58065414,,"3,848 people are currently reading",218k people want to read
From Lukov with Love,"['Mariana Zapata', 'Mariana Zapata']",4.21,"If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one.

After seventeen years—and countless broken bones and broken promises—she knows her window to compete in figure skating is coming to a close.

But when the offer of a lifetime comes in from an arrogant idiot she’s spent the last decade dreaming about pushing in the way of a moving bus, Jasmine might have to reconsider everything.

Including Ivan Lukov.","267,766 ratings and 36,226 reviews","['493 pages, Paperback', 'First published February 1, 2018']",https://www.goodreads.com/book/show/37683751,,10.6k people are currently reading,283k people want to read
El peligro de estar cuerda,"['Rosa Montero', 'Rosa Montero']",4.12,"Esiste un legame tra il processo creativo e l’instabilità mentale? I grandi geni sono più predisposti a soffrire? «Proprio di questo parla il libro che avete fra le mani. Del rapporto tra la creatività e una certa stravaganza. Dell’eventualità che la creazione abbia qualcosa a che fare con l’allucinazione. O della possibilità che essere un artista ti renda più incline allo squilibrio mentale, come si è sospettato dall’inizio dei tempi». Attingendo alla sua esperienza personale e alla lettura di numerosi libri di psicologia, neuroscienze, letteratura e memorie di grandi autori di diverse discipline, Rosa Montero ci offre uno studio appassionante sul legame tra arte e follia. E lo fa condividendo numerose e sorprendenti curiosità sul funzionamento del nostro cervello quando creiamo, scomponendo ed esaminando a uno a uno tutti gli aspetti che influenzano questo strambo processo, come un detective pronto a risolverei pezzi sparsi di un’indagine. Il pericolo di essere sana di mente riflette in modo scanzonato e intelligente su cosa vuol dire essere un artista, cosa c’è dietro alla nascita dell’ispirazione, e soprattutto sul prezzo da pagare per convivere con l’esplosione della creatività, perché «l’opera si aggira sempre intorno a te, così come si aggira la follia. La questione è sapere chi finirà per vincere».","13,500 ratings and 2,222 reviews","['360 pages, Paperback', 'First published March 30, 2022']",https://www.goodreads.com/book/show/60293672,"['Nonfiction', 'Audiobook', 'Spanish Literature', 'Essays', 'Spain', 'Writing', 'Art', '...more']","1,741 people are currently reading",19.2k people want to read
La química del amor,"['Ali Hazelwood', 'Patricia Sebastián Hernández', 'Ali Hazelwood']",3.91,"Una nueva comedia romántica situada en la NASA en la que una científica se ve obligada a trabajar en un proyecto junto a su archienemigo... con resultados explosivos.

Bee Königswasser se rige siempre por un código muy sencillo: ¿qué haría Marie Curie? Si la NASA le ofreciera liderar un proyecto de neuroingeniería, un sueño hecho realidad después de pasarse años malviviendo con las migajas del mundo académico, Marie aceptaría sin dudarlo. Obvio. Pero la madre de la física moderna nunca tuvo que codirigir ningún proyecto con Levi Ward.

A ver, Levi no está nada mal: es alto, moreno y tiene una mirada de lo más penetrante. Pero Levi dejó muy claros sus sentimientos por Bee en la universidad: es mejor que dos enemigos trabajen cada uno en su propia galaxia muy muy lejana.

De pronto, Bee se encuentra con que su material ha desaparecido, el personal pasa de ella y su maltrecha carrera profesional pende de un hilo. Puede que su lóbulo occipital esté jugándole una mala pasada, pero juraría que Levi empieza a convertirse en su aliado, apoyando sus decisiones, secundando sus ideas... devorándola con esa mirada suya. Y las diferentes posibilidades traen a sus neuronas de cabeza.

Sin embargo, cuando llega el momento de jugársela y arriesgar el corazón, solo hay una pregunta que importe: ¿Qué hará Bee Königswasser?","531,312 ratings and 66,857 reviews","['480 pages, Paperback', 'First published August 23, 2022']",https://www.goodreads.com/book/show/62587439,,13.2k people are currently reading,481k people want to read
Adolf Tankobon nº 01/05 (Manga: Biblioteca Tezuka),"['Osamu Tezuka', 'Jesús Pece', 'Osamu Tezuka']",4.16,"Osamu Tezuka is often credited with being one of the pioneers of ""story manga""-- long, narrative comics for adults. His stories frequently run thousands of pages and comprise dozens of volumes. He is known in America (though not by name) as the animator of Astro Boy and Kimba, the White Lion. Adolf, his last major work before his death in 1989, is his first full-length work available in English. It's the story of three individuals named Adolf: a Jewish boy living in Japan, a half-Japanese/half- German boy, and the leader of Nazi Germany. This is a wonderfully fresh perspective on the events of World War II.","1,197 ratings and 68 reviews","['259 pages, Kindle Edition', 'First published January 1, 1983']",https://www.goodreads.com/book/show/57442871,,14 people are currently reading,821 people want to read
El secreto de Emmaline,"['Megan Shepherd', 'Ana Isabel Sánchez', 'Megan Shepherd']",3.99,"ME LLAMO EMMALINE Y TENGO UN SECRETO
No voy a contárselo a nadie, ni a Benny, ni a Anna, ni siquiera a la hermana Constance.
Mi secreto se esconde en los espejos que reflejan las elegantes habitaciones que antaño fueron el hogar de una princesa hermosa y que hoy habitamos nosotros.
Pero a ti sí te lo contaré: Hay caballos alados viviendo en los espejos del hospital Briar Hill.
Diciembre de 1941. Los bombardeos alemanes asolan las ciudades de Inglaterra y muchos niños son evacuados a la campiña. Los más enfermos y traumatizados son trasladados a hospitales especiales. Emmaline es una de esas niñas. Pero ella es diferente, ya que posee algo de lo que carecen los demás. Un secreto que le permitirá encontrar el color en un mundo gris, porque…SOLO LA MIRADA DE UN NIÑO PUEDE COMBATIR LA OSCURIDAD.","2,364 ratings and 574 reviews","['185 pages, Kindle Edition', 'First published October 11, 2016']",https://www.goodreads.com/book/show/36373048,"['Fantasy', 'Middle Grade', 'Historical Fiction', 'Magical Realism', 'Historical', 'Childrens', 'Fiction', '...more']",64 people are currently reading,"7,071 people want to read"
Stray Bullet Baby,"['Kei Ichikawa', 'Bruno Pasino', 'Kei Ichikawa']",3.42,"Movie advertising agency employee Murakami Chihiro has someone he yearns for. His customer is fashion magazine editor Motona Kiyoharu. An incredible worker with an attractive smile, he is the one person Chihiro really desires, but they don't get any opportunity to get closer. However one fateful day,at a drinking party Chihiro looks after a drunken Motona and takes him home...!? Selfish beauty x manipulative guy, Ichikawa Kei's new office workers BL now begins.",165 ratings and 25 reviews,"['192 pages, Paperback', 'First published September 14, 2017']",https://www.goodreads.com/book/show/201425478,"['Manga', 'Yaoi', 'Boys Love', 'Romance', 'Graphic Novels', 'LGBT', 'M M Romance', '...more']",5 people are currently reading,95 people want to read
Taeb y los Siete Reinos,"['M.P. Toro', 'M.P. Toro']",4.11,"Taeb es un ángel. No solo tiene unos adorables ojos grises y un hermoso cabello rubio, sino que también le nacen dos inmensas alas blancas de su espalda. No es normal, es un monstruo. Su madre lo sabe bien y lo ha protegido siempre; evita que se le acerquen diciendo que padece una terrible enfermedad. Pero el destino es ineludible y los cazadores pronto lo encuentran. Ahora el pequeño no tendrá otra opción que huir y tratar de encontrar a su padre, quien supone le dio esas alas. Durante su viaje conocerá seres increíbles, luchará contra animales gigantes y descubrirá un mundo nuevo, lleno de magia; un mundo que le es hostil pero donde esta su verdadero hogar.",38 ratings and 11 reviews,"['268 pages, Hardcover', 'First published August 1, 2012']",https://www.goodreads.com/book/show/16089670,,1 person is currently reading,38 people want to read
